time,id,x,y,z,rad,timeLife,mass,temp,charge
15,3,5.08003,1.59796,4.18075,0.698675,3.5,0.488147,1705.28,0.703734
15,4,5.23291,1.21737,4.78927,0.0785574,1,0.00617127,2.42399,0.847353
15,5,5,1,5,0.059419,0.5,0.00353062,1.04893,-0.258857
15.5,0,5.81394,3.22627,5.85872,1.22719,13,1.50601,9240.81,-3.26816
15.5,1,1.4555,3.55603,7.29752,0.151705,5,0.0230145,17.4571,-0.494627
15.5,2,7.29662,4.06066,1.5002,0.198622,4.5,0.0394505,39.1786,-0.615403
15.5,3,5.11695,1.74324,3.94928,0.698675,4,0.488147,1705.28,0.703734
15.5,4,5.46582,1.43475,4.57853,0.0785574,1.5,0.00617127,2.42399,0.847353
15.5,5,5.19289,1.43274,5.16204,0.059419,1,0.00353062,1.04893,-0.258857
15.5,6,5,1,5,0.396481,0.5,0.157197,311.629,0.658791
16,0,5.87023,3.34888,5.88899,1.22719,13.5,1.50601,9240.81,-3.26816
16,1,1.06166,3.84003,7.5528,0.151705,5.5,0.0230145,17.4571,-0.494627
16,2,7.5837,4.44325,1.06273,0.198622,5,0.0394505,39.1786,-0.615403
16,3,5.15387,1.88853,3.71781,0.698675,4.5,0.488147,1705.28,0.703734
16,4,5.69874,1.65212,4.3678,0.0785574,2,0.00617127,2.42399,0.847353
16,5,5.38578,1.86548,5.32408,0.059419,1.5,0.00353062,1.04893,-0.258857
16,6,4.59724,1.04922,4.95539,0.396481,1,0.157197,311.629,0.658791
16,7,5,1,5,0.300123,0.5,0.0900739,135.166,0.320909
16.5,0,5.92652,3.4715,5.91927,1.22719,14,1.50601,9240.81,-3.26816
16.5,1,0.667828,4.12404,7.80808,0.151705,6,0.0230145,17.4571,-0.494627
16.5,2,7.87077,4.82583,0.625253,0.198622,5.5,0.0394505,39.1786,-0.615403
16.5,3,5.19079,2.03381,3.48634,0.698675,5,0.488147,1705.28,0.703734
16.5,4,5.93165,1.8695,4.15707,0.0785574,2.5,0.00617127,2.42399,0.847353
16.5,5,5.57866,2.29822,5.48612,0.059419,2,0.00353062,1.04893,-0.258857
16.5,6,4.19449,1.09844,4.91078,0.396481,1.5,0.157197,311.629,0.658791
16.5,7,5.25077,1.22583,4.86408,0.300123,1,0.0900739,135.166,0.320909
16.5,8,5,1,5,0.188231,0.5,0.0354309,33.3459,0.863317
17,0,0.273994,4.40804,8.06336,0.151705,6.5,0.0230145,17.4571,-0.494627
17,1,5.22771,2.1791,3.25487,0.698675,5.5,0.488147,1705.28,0.703734
17,2,6.16456,2.08687,3.94633,0.0785574,3,0.00617127,2.42399,0.847353
17,3,3.79173,1.14765,4.86618,0.396481,2,0.157197,311.629,0.658791
17,4,5.50154,1.45165,4.72816,0.300123,1.5,0.0900739,135.166,0.320909
17,5,4.71173,1.23022,4.99362,0.188231,1,0.0354309,33.3459,0.863317
17,6,5,1,5,0.364056,0.5,0.132537,241.254,0.83632
17,7,5.98231,3.59209,5.94883,1.22863,14.5,1.50954,9273.33,-3.52701
17.5,0,5.26463,2.32438,3.0234,0.698675,6,0.488147,1705.28,0.703734
17.5,1,6.39747,2.30425,3.7356,0.0785574,3.5,0.00617127,2.42399,0.847353
17.5,2,3.38898,1.19687,4.82157,0.396481,2.5,0.157197,311.629,0.658791
17.5,3,5.7523,1.67748,4.59224,0.300123,2,0.0900739,135.166,0.320909
17.5,4,4.42346,1.46044,4.98724,0.188231,1.5,0.0354309,33.3459,0.863317
17.5,5,5.08632,1.39674,5.15808,0.364056,1,0.132537,241.254,0.83632
17.5,6,6.03892,3.71543,5.97941,1.22863,15,1.50954,9273.33,-3.52701
17.5,7,5,1,5,0.0457125,0.5,0.00208963,0.47761,-0.483064
18,0,5.30156,2.46967,2.79193,0.698675,6.5,0.488147,1705.28,0.703734
18,1,6.63039,2.52162,3.52487,0.0785574,4,0.00617127,2.42399,0.847353
18,2,2.98622,1.24609,4.77696,0.396481,3,0.157197,311.629,0.658791
18,3,6.00307,1.9033,4.45632,0.300123,2.5,0.0900739,135.166,0.320909
18,4,4.13519,1.69067,4.98086,0.188231,2,0.0354309,33.3459,0.863317
18,5,5.17264,1.79348,5.31616,0.364056,1.5,0.132537,241.254,0.83632
18,6,6.09552,3.83877,6.00999,1.22863,15.5,1.50954,9273.33,-3.52701
18,7,5.00038,1.00368,4.99672,0.302315,1,0.0913943,138.149,-0.977107
18.5,0,5.33848,2.61495,2.56046,0.698675,7,0.488147,1705.28,0.703734
18.5,1,6.8633,2.739,3.31413,0.0785574,4.5,0.00617127,2.42399,0.847353
18.5,2,2.58347,1.29531,4.73235,0.396481,3.5,0.157197,311.629,0.658791
18.5,3,6.25384,2.12913,4.3204,0.300123,3,0.0900739,135.166,0.320909
18.5,4,3.84692,1.92089,4.97448,0.188231,2.5,0.0354309,33.3459,0.863317
18.5,5,5.25896,2.19022,5.47425,0.364056,2,0.132537,241.254,0.83632
18.5,6,6.15213,3.9621,6.04057,1.22863,16,1.50954,9273.33,-3.52701
18.5,7,4.90679,1.20894,5.20707,0.302315,1.5,0.0913943,138.149,-0.977107
